UNK,0
<sol>,311
objective:,2478
to,3626
work,3841
in,1811
a,314
challenging,810
environment,1365
that,3578
provides,2851
career,776
and,461
professional,2800
"development,",1182
leading,2090
mutually,2387
beneficial,668
growth.,1655
experience,1427
summary:,3463
●4,3924
​years,3907
of,2492
extensive,1453
as,541
web,3799
application,497
developer,1173
"java/j2ee,",1976
javascript/jquery.,1982
having,1693
good,1626
understanding,3696
product,2792
applications,501
functionalities,1571
from,1559
upstream,3714
downstream,1236
levels.,2103
●having,3928
"configuration,",950
"develop,",1171
deployment,1145
codes,859
server.,3173
●code,3925
reviewing,3024
other,2573
team,3526
members,2267
code,856
change,812
work.,3843
●good,3927
knowledge,2053
troubleshooting,3672
fixing,1513
defects.,1119
requirements,2981
finding,1502
solution/design,3290
adapt,358
current,1051
architecture.,527
interest,1900
transfer,3658
new,2431
members.,2268
●documentation,3926
managing,2204
documentation,1218
many,2213
our,2575
teamwork,3536
help,1703
future,1580
<eol>,310
-,138
,3946
top,3636
100,167
oldest,2504
developers,1176
india.,1831
(started,110
ios,1930
app,493
development,1180
may,2243
2008,202
&,1
apple,495
releases,2957
sdk,3119
march,2220
2008),203
successfully,3454
completed,917
“programming,3914
mobile,2313
for,1535
android,462
handheld,1674
systems”,3503
with,3836
distinction,1208
university,3702
"maryland,",2228
college,880
park.,2605
6.7,281
years,3884
experience.,1429
delivered,1127
150+,177
applications.,503
designing,1158
developing,1178
the,3581
an,439
earned,1268
reputation,2972
meeting,2261
project,2824
goals,1621
within,3838
time,3612
constraints.,967
strong,3420
"design,",1151
"implementation,",1798
"testing,",3572
maintenance,2186
"iphone,",1938
ipad,1936
ipod,1940
development.,1183
"system,",3497
"analysis,",442
business,736
using,3728
iphone,1937
"sdk,",3120
"xcode,",3861
objective,2474
"c,",751
cocoa,853
framework,1548
competing,914
adeptness,369
"application,",499
which,3818
requires,2984
design,1150
"framework,core",1550
data,1080
sqlite.,3349
works,3849
well,3812
both,706
environments,1368
individual,1835
assignments.,558
effective,1281
problem,2773
solving,3298
foundation,1546
iphone/ipad/ipod,1939
technologies.,3551
profile,2807
2,181
"experience,",1428
who,3820
is,1943
passionate,2626
towards,3643
front-end,1561
experienced,1431
cordys,1002
bop,703
latest,2077
front,1560
end,1317
seeking,3141
platform,2695
explore,1442
my,2393
potential,2736
capabilities,769
innovative,1867
creative,1026
"way,",3793
culminating,1048
mutual,2386
excel,1403
achieve,342
continuous,978
growth,1653
creatively,1029
infuse,1858
ideas,1780
"support,",3472
build,727
stabilize,3361
organization’s,2560
summary,3462
6.6,280
area,531
windows,3832
"phone,",2671
ce,794
,3938
phone,2670
7.x/8.x,294
8.x.,302
mobile.,2314
ios.,1932
gui,1657
object,2471
oriented,2564
programming,2816
techniques.,3544
database,1084
sql,3340
"server,",3171
oracle,2546
10g,169
practical,2739
wcf,3795
service,3177
competitive,915
where,3817
i,1768
can,766
effectively,1282
utilize,3730
"analytical,",452
interpersonal,1916
software,3281
skills,3258
desired,1162
solutions.,3294
working,3848
technical,3539
lead,2085
on,2505
demand,1135
agility,404
pvt,2867
"ltd.,",2169
around,537
8,297
currently,1052
at,568
client,829
side,3220
credit,1031
"suisse,",3458
pune.,2860
versed,3757
otc,2572
derivatives,1149
trade,3647
lifecycle,2117
cash,786
flow,1523
generation.,1602
worked,3844
agile,401
waterfall,3789
model.,2322
location,2144
abu,326
dhabi,1190
always,428
eager,1265
learn,2091
things,3591
take,3511
up,3707
challenges.,809
enthusiastic,1359
player.,2705
hard,1683
give,1614
best,674
company,903
also,426
initiatives,1862
obtain,2487
necessary,2407
job,2006
post,2735
helps,1705
bringing,717
out,2576
fullest,1565
output,2581
it,1949
positive,2729
synopsis,3493
b.tech,620
electrical,1295
engineering,1334
indian,1832
institute,1876
"technology,",3554
roorkee,3040
2007.,201
8+,298
–,3908
security,3135
enthusiast.,1358
quick,2886
learner,2093
technologies,3548
their,3582
proficient,2806
"structures,",3425
algorithms,414
patterns.,2639
"java,",1972
shell,3211
scripting,3110
etc.,1386
frameworks,1552
like,2121
"spring,",3333
hibernate.,1712
linux,2130
"procedures,",2781
creation,1024
virtual,3765
hardware,1686
appliances,496
bare,648
minimum,2304
os,2568
concepts,937
(like,64
scratch,3104
(lfs)).,63
filed,1496
patent,2631
"(13/913,696)",3
titled,3623
“selective,3916
encryption,1316
outgoing,2578
data”,1090
protection,2842
cloud,840
based,650
storage,3394
facility.,1471
published,2857
research,2986
papers,2602
international,1912
"conferences,",947
written,3858
articles,538
tech,3538
"websites,",3808
invention,1923
disclosures/patents,1203
emc/rsa.,1303
expertise,1438
areas,532
related,2945
computer,931
security/vulnerability,3138
"assessment,",553
"mitigations,",2309
secure,3134
"strategies,",3405
threat,3599
"modeling,",2324
"practices,",2743
hardening.,1685
willing,3827
key,2049
player,2703
become,657
successful,3453
engineer.,1333
contribute,982
through,3603
acquired,347
grow,1651
along,424
organization.,2556
have,1692
total,3639
5+,261
e-learning,1262
domain,1227
"html5,",1752
"css,",1041
"angularjs,",471
javascript,1979
jquery,2018
harbinger,1682
interactive,1899
learning,2095
pvt.,2868
ltd.,2167
pune,2859
programmer.,2814
3,223
years.,3886
analyst,446
position,2727
your,3890
organization,2554
utilizing,3734
analytical,451
thinking,3592
relevant,2959
comprehend,927
its,1955
long,2155
term,3562
goals.,1623
o,2470
approx.,513
analytics,453
"domain,",1228
including,1817
forecasting,1537
/,145
predictive,2748
"analytics,",455
visualization,3774
collection,877
overall,2585
used,3724
languages,2068
r,2890
sas,3071
python,2869
tools,3633
"spotfire,",3331
tableau,3507
ssrs.,3358
"optimization,",2539
statistics,3383
regression,2940
techniques,3542
recent,2921
mining,2305
clustering,848
hierarchical,1713
non,2449
(k-,59
means).,2251
extensively,1454
"asp.net,",547
"c#,",744
"sql,",3343
initially.,1859
bfsi/us,680
retail,3015
banking,645
energy,1324
sector.,3132
accomplished,337
mid-senior,2297
level,2101
manager,2201
eighteen,1291
plus,2712
"operations,",2532
"engineering,",1335
management,2195
various,3742
technology,3552
industries,1843
such,3455
(,2
graphics,1638
"arm),",536
"telecom,",3558
database.,1086
decisive,1109
leader,2087
operational,2530
organizations,2559
varying,3744
size,3252
scope.,3103
result-oriented,3008
"professional,",2801
recognized,2924
taking,3512
major,2189
"initiatives,",1863
adapting,362
rapidly,2906
changing,814
resolving,2991
mission,2307
critical,1032
issue,1944
ensure,1349
bottom,707
